zeit,team,spieler,spielnummer
52:01,Heim,"Dekarz, Bendix",107009
54:03,Heim,"Ludwig, Finn-Lennart",107026
58:39,Gast,"Kobbe, Felix",107027
56:44,Heim,"Kolditz, Max-Richard",107021
55:08,Gast,"Boithling, Aaron",107007
28:44,Gast,"Kolditz, Max-Richard",107015
23:02,Heim,"Borsum, Phil",107011
25:11,Gast,"Dieckmann, Lars",107011
20:17,Gast,"Scheller, Alexander",107014
45:12,Heim,"Boithling, Aaron",107014
29:04,Gast,"Rauls, Niklas",107003
30:45,Gast,"Petersen, Fynn",107004
38:15,Gast,"Squillante, Luca",107004
42:03,Gast,"Könemann, Jost",107019
