name,team,tore,siebenmeter_tore,siebenmeter_versuche,zweiminuten_strafen,disqualifikation,spieler,tore_aus_events,7m_quote
"Weiß, Luca-Elias",Handballverein Lüneburg,51,15,17,1,False,,0.0,88.2
"Cordes, Hinnerk Peter",SG VfL Wittingen/Stöcken,48,18,20,1,False,,0.0,90.0
"Waschke, Marcel",MTV Groß Lafferde,36,13,16,2,False,,0.0,81.2
"Specht, Johannes",TV Uelzen,32,1,2,5,False,,0.0,50.0
"Ludwig, Paul Mattes",MTV Dannenberg,32,8,12,3,False,,0.0,66.7
"Lange, Erik",VfB Fallersleben,30,0,1,0,False,,0.0,0.0
"Schenzel, Carl",MTV Eyendorf,29,16,16,1,False,,0.0,100.0
"Holm, Moritz-Maximilian",HSG Seevetal/Ashausen,28,10,17,2,False,,0.0,58.8
"Wietfeld, Jonas",HSG Nord Edemissen/Uetze,26,5,6,4,False,,0.0,83.3
"Gronotte, Peter",BTSV Eintr. Braunschweig,24,0,0,0,False,,0.0,0.0
"Luettmann, Kilian",VfB Fallersleben,24,6,10,1,False,,0.0,60.0
"Tebel, Steen",MTV Dannenberg,23,0,0,0,False,,0.0,0.0
"Conrad, Til",BTSV Eintr. Braunschweig,22,10,13,2,False,,0.0,76.9
"Schulz, Cedric",TV E. Sehnde,22,9,11,2,False,,0.0,81.8
"Gerloff, Gerrit",HG ELM,22,5,5,4,False,,0.0,100.0
"Zellmann, Niklas",MTV Groß Lafferde,22,4,4,1,False,,0.0,100.0
"Krause, Hannes",HSG Nord Edemissen/Uetze,20,12,14,0,False,,0.0,85.7
"Schreiner, Jannik",HG ELM,20,5,7,0,False,,0.0,71.4
"Huhnoldt, Hauke",BTSV Eintr. Braunschweig,19,5,8,2,False,,0.0,62.5
"Vahldiek, Jan-Hendrik",HG ELM,19,5,7,1,False,,0.0,71.4
"Nabel, Philipp",HG ELM,18,0,0,4,False,,0.0,0.0
"Mertins, Phil",MTV Dannenberg,18,0,0,3,False,,0.0,0.0
"Strub, Georg",MTV Groß Lafferde,17,0,0,1,False,,0.0,0.0
