team,tore_geschossen,tore_pro_spiel,tore_kassiert,gegentore_pro_spiel,siege,unentschieden,niederlagen,spiele,siegquote,tordifferenz
MTV Groß Lafferde,176,35.2,121,24.2,5,0,0,5,100.0,55
TV E. Sehnde,115,28.75,97,24.25,3,1,0,4,75.0,18
HG ELM,111,27.75,107,26.75,3,0,1,4,75.0,4
Handballverein Lüneburg,161,32.2,144,28.8,3,1,1,5,60.0,17
BTSV Eintr. Braunschweig,177,35.4,165,33.0,3,0,2,5,60.0,12
SG VfL Wittingen/Stöcken,122,24.4,123,24.6,2,0,3,5,40.0,-1
HSG Seevetal/Ashausen,101,25.25,101,25.25,1,2,1,4,25.0,0
TV Uelzen,107,26.75,108,27.0,1,1,2,4,25.0,-1
MTV Eyendorf,101,25.25,112,28.0,1,1,2,4,25.0,-11
MTV Dannenberg,131,32.75,144,36.0,1,0,3,4,25.0,-13
HSG Nord Edemissen/Uetze,130,26.0,171,34.2,1,0,4,5,20.0,-41
VfB Fallersleben,111,22.2,150,30.0,0,0,5,5,0.0,-39
