name,team,tore
"Weiß, Luca-Elias",Handballverein Lüneburg,51
"Cordes, Hinnerk Peter",SG VfL Wittingen/Stöcken,48
"Waschke, Marcel",MTV Groß Lafferde,36
"Ludwig, Paul Mattes",MTV Dannenberg,32
"Specht, Johannes",TV Uelzen,32
"Lange, Erik",VfB Fallersleben,30
"Schenzel, Carl",MTV Eyendorf,29
"Holm, Moritz-Maximilian",HSG Seevetal/Ashausen,28
"Wietfeld, Jonas",HSG Nord Edemissen/Uetze,26
"Luettmann, Kilian",VfB Fallersleben,24
"Gronotte, Peter",BTSV Eintr. Braunschweig,24
"Tebel, Steen",MTV Dannenberg,23
"Gerloff, Gerrit",HG ELM,22
"Schulz, Cedric",TV E. Sehnde,22
"Zellmann, Niklas",MTV Groß Lafferde,22
"Conrad, Til",BTSV Eintr. Braunschweig,22
"Schreiner, Jannik",HG ELM,20
"Krause, Hannes",HSG Nord Edemissen/Uetze,20
"Huhnoldt, Hauke",BTSV Eintr. Braunschweig,19
"Vahldiek, Jan-Hendrik",HG ELM,19
"Nabel, Philipp",HG ELM,18
"Mertins, Phil",MTV Dannenberg,18
"Rauls, Lennart",HSG Nord Edemissen/Uetze,17
"Erxleben, Lars",BTSV Eintr. Braunschweig,17
"Weiß, Leon",Handballverein Lüneburg,17
"Strub, Georg",MTV Groß Lafferde,17
"Gottsknecht, Nico",MTV Groß Lafferde,16
"Jäger, Vasco",MTV Dannenberg,16
"Lauer, Fynn",TV Uelzen,16
"Reuter, Sören",MTV Groß Lafferde,15
"Benefeldt, Niklas",HSG Nord Edemissen/Uetze,15
"Solaker, Noah",HSG Seevetal/Ashausen,14
"Dankert, Jannes",SG VfL Wittingen/Stöcken,14
"Bahn, Kjell",TV E. Sehnde,14
"Schenk, Jannis",SG VfL Wittingen/Stöcken,14
"Boithling, Aaron",MTV Dannenberg,14
"Kobbe, Felix",BTSV Eintr. Braunschweig,13
"Planitz, Lasse",HSG Nord Edemissen/Uetze,13
"Berndt, Jonas",MTV Eyendorf,13
"Fuchs, Marcel",HSG Seevetal/Ashausen,13
"Fasterling, Henri",HSG Seevetal/Ashausen,13
"Specht, Lukas",TV Uelzen,12
"Pick, Julian",TV E. Sehnde,12
"Lange, Niklas Alexander",MTV Eyendorf,12
"Kamradt, Tim",MTV Groß Lafferde,12
"Bremer, Gerrit",BTSV Eintr. Braunschweig,12
"Büüs, Gerrit",MTV Groß Lafferde,12
"Kruse, Jan-Luca",Handballverein Lüneburg,12
"Haisel, Gunnar",Handballverein Lüneburg,12
"Thomas, Kai-Philipp",BTSV Eintr. Braunschweig,12
