team,zeit,stand_heim,stand_gast,ereignis,trikotnummer,spieler,pdf_file,spielnummer
Gast,01:50,0,1,Tor,47,"Waschke, Marcel",7978756.pdf,107009
Gast,03:44,0,2,Tor,91,"Reuter, Sören",7978756.pdf,107009
Gast,05:41,0,3,Tor,47,"Waschke, Marcel",7978756.pdf,107009
Heim,06:26,1,3,Tor,24,"Köster, Jonathan",7978756.pdf,107009
Gast,07:08,1,4,Tor,10,"Strub, Georg",7978756.pdf,107009
Heim,07:48,2,4,Tor,15,"Dekarz, Bendix",7978756.pdf,107009
Heim,07:54,,,2-Minuten,15,"Dekarz, Bendix",7978756.pdf,107009
Gast,07:58,2,5,7m-Tor,47,"Waschke, Marcel",7978756.pdf,107009
Heim,10:00,,,Auszeit,,,7978756.pdf,107009
Gast,11:07,2,6,Tor,6,"Krusch, Len",7978756.pdf,107009
Gast,11:39,2,7,Tor,47,"Waschke, Marcel",7978756.pdf,107009
Gast,12:33,2,8,Tor,9,"Kamradt, Tim",7978756.pdf,107009
Heim,12:35,,,2-Minuten,15,"Dekarz, Bendix",7978756.pdf,107009
Heim,13:12,3,8,Tor,8,"Lange, Niklas Alexander",7978756.pdf,107009
Gast,14:07,3,9,Tor,18,"Büüs, Gerrit",7978756.pdf,107009
Heim,14:40,4,9,Tor,31,"Matthies, Marcel",7978756.pdf,107009
Gast,15:58,4,10,7m-Tor,47,"Waschke, Marcel",7978756.pdf,107009
Heim,16:22,5,10,Tor,8,"Lange, Niklas Alexander",7978756.pdf,107009
Gast,16:53,5,11,Tor,24,"Hansen, Arne",7978756.pdf,107009
Heim,17:07,6,11,Tor,97,"Ahrens, Jaron",7978756.pdf,107009
Gast,17:41,6,12,Tor,47,"Waschke, Marcel",7978756.pdf,107009
Heim,18:42,7,12,Tor,97,"Ahrens, Jaron",7978756.pdf,107009
Gast,19:46,7,13,Tor,17,"Winkler, Kevin",7978756.pdf,107009
Heim,21:08,8,13,Tor,15,"Dekarz, Bendix",7978756.pdf,107009
Gast,21:26,,,Auszeit,,,7978756.pdf,107009
Heim,24:41,9,13,Tor,18,"Dekarz, Steffen",7978756.pdf,107009
Gast,25:19,9,14,Tor,67,"Zellmann, Niklas",7978756.pdf,107009
Heim,25:45,10,14,Tor,7,"Schenzel, Carl",7978756.pdf,107009
Heim,25:46,,,2-Minuten,7,"Schenzel, Carl",7978756.pdf,107009
Gast,26:12,10,15,Tor,47,"Waschke, Marcel",7978756.pdf,107009
Gast,27:52,10,16,Tor,47,"Waschke, Marcel",7978756.pdf,107009
Heim,28:32,11,16,Tor,5,"Eilrich, Phillip",7978756.pdf,107009
Gast,29:56,11,17,Tor,4,"Alcape Meyer, Afonso",7978756.pdf,107009
Gast,30:30,11,18,Tor,67,"Zellmann, Niklas",7978756.pdf,107009
Heim,31:49,12,18,Tor,39,"Oertzen, Raphael",7978756.pdf,107009
Gast,32:18,12,19,Tor,10,"Strub, Georg",7978756.pdf,107009
Gast,32:37,12,20,Tor,67,"Zellmann, Niklas",7978756.pdf,107009
Heim,33:43,,,2-Minuten,39,"Oertzen, Raphael",7978756.pdf,107009
Gast,33:45,12,21,7m-Tor,47,"Waschke, Marcel",7978756.pdf,107009
Heim,35:07,13,21,Tor,31,"Matthies, Marcel",7978756.pdf,107009
Gast,35:14,13,22,Tor,9,"Kamradt, Tim",7978756.pdf,107009
Heim,38:28,14,22,Tor,97,"Ahrens, Jaron",7978756.pdf,107009
Heim,39:13,15,22,Tor,8,"Lange, Niklas Alexander",7978756.pdf,107009
Gast,41:18,15,23,Tor,10,"Strub, Georg",7978756.pdf,107009
